"Elapsed_time","Temperature","Humidity","TGS2600","TGS2602","TGS2610"
"543","24.74","41.17","1946","1944","1546"
"653","24.75","41.18","1946","1944","1546"
"761","24.75","41.17","1946","1944","1546"
"870","24.75","41.17","1946","1946","1546"
"979","24.75","41.18","1946","1944","1546"
"1088","24.76","41.18","1946","1946","1546"
"1198","24.76","41.18","1946","1946","1546"
"1306","24.77","41.18","1946","1946","1546"
"1416","24.76","41.18","1946","1946","1546"
"1524","24.76","41.18","1946","1946","1546"
"1634","24.76","41.18","1946","1946","1546"
"1742","24.77","41.18","1946","1946","1546"
"1852","24.78","41.17","1946","1946","1546"
"1960","24.78","41.17","1946","1946","1546"
"2070","24.77","41.17","1946","1946","1546"
