"Elapsed_time","Temperature","Humidity","TGS2600","TGS2602","TGS2610"
"547","25.16","40.76","2066","4094","1760"
"657","25.17","40.76","2066","4094","1760"
"765","25.18","40.76","2066","4094","1760"
"875","25.19","40.76","2066","4094","1760"
"984","25.19","40.76","2064","4094","1760"
"1092","25.19","40.76","2064","4094","1760"
"1202","25.19","40.75","2064","4094","1760"
"1310","25.20","40.75","2064","4094","1762"
"1420","25.20","40.74","2064","4094","1762"
"1528","25.19","40.74","2064","4094","1762"
"1638","25.19","40.74","2064","4094","1762"
"1746","25.21","40.74","2064","4094","1762"
"1856","25.20","40.74","2064","4094","1762"
"1965","25.20","40.73","2064","4094","1762"
"2074","25.22","40.73","2064","4094","1762"
