"Elapsed_time","Temperature","Humidity","TGS2600","TGS2602","TGS2610"
"546","24.71","40.77","1954","2032","1568"
"656","24.71","40.78","1954","2032","1568"
"764","24.72","40.78","1954","2030","1568"
"873","24.72","40.78","1954","2030","1568"
"983","24.73","40.77","1954","2030","1568"
"1091","24.74","40.76","1954","2030","1568"
"1201","24.73","40.76","1954","2030","1568"
"1309","24.72","40.76","1952","2030","1568"
"1419","24.73","40.76","1952","2030","1568"
"1527","24.73","40.75","1952","2028","1568"
"1637","24.72","40.74","1952","2028","1566"
"1745","24.73","40.74","1952","2028","1566"
"1855","24.72","40.73","1952","2028","1566"
"1964","24.72","40.72","1952","2028","1566"
"2073","24.73","40.71","1952","2028","1566"
