"Elapsed_time","Temperature","Humidity","TGS2600","TGS2602","TGS2610"
"541","27.88","34.20","4094","4094","1792"
"650","27.87","34.20","4094","4094","1792"
"759","27.90","34.20","4094","4094","1792"
"868","27.91","34.20","4094","4094","1790"
"976","27.90","34.19","4094","4094","1790"
"1086","27.90","34.16","4094","4094","1790"
"1195","27.91","34.16","4094","4094","1790"
"1304","27.90","34.16","4094","4094","1790"
"1413","27.93","34.15","4094","4094","1788"
"1522","27.91","34.11","4094","4094","1788"
"1631","27.91","34.07","4094","4094","1788"
"1740","27.91","34.07","4094","4094","1788"
"1849","27.91","34.06","4094","4094","1788"
"1958","27.91","34.07","4094","4094","1790"
"2067","27.90","34.07","4094","4094","1790"
