"Elapsed_time","Temperature","Humidity","TGS2600","TGS2602","TGS2610"
"545","24.61","41.57","1944","1942","1542"
"655","24.64","41.57","1944","1944","1542"
"763","24.64","41.56","1944","1942","1542"
"872","24.63","41.55","1944","1944","1542"
"982","24.64","41.55","1944","1942","1542"
"1090","24.65","41.54","1944","1944","1542"
"1200","24.64","41.53","1944","1942","1542"
"1308","24.66","41.53","1944","1944","1542"
"1418","24.66","41.53","1944","1944","1542"
"1526","24.66","41.52","1944","1944","1542"
"1636","24.66","41.51","1944","1944","1542"
"1744","24.69","41.51","1944","1944","1542"
"1854","24.68","41.51","1944","1944","1542"
"1963","24.66","41.50","1944","1944","1542"
"2072","24.66","41.49","1944","1944","1542"
