"Elapsed_time","Temperature","Humidity","TGS2600","TGS2602","TGS2610"
"544","27.84","33.72","4094","4094","1790"
"654","27.84","33.69","4094","4094","1790"
"762","27.85","33.67","4094","4094","1790"
"871","27.85","33.64","4094","4094","1792"
"980","27.86","33.61","4094","4094","1792"
"1089","27.85","33.58","4094","4094","1792"
"1199","27.86","33.54","4094","4094","1792"
"1307","27.85","33.51","4094","4094","1792"
"1417","27.85","33.49","4094","4094","1794"
"1525","27.86","33.48","4094","4094","1794"
"1635","27.87","33.47","4094","4094","1794"
"1743","27.86","33.48","4094","4094","1794"
"1853","27.87","33.49","4094","4094","1794"
"1961","27.85","33.48","4094","4094","1794"
"2071","27.86","33.47","4094","4094","1794"
