"Elapsed_time","Temperature","Humidity","TGS2600","TGS2602","TGS2610"
"545","25.21","40.60","2062","4094","1770"
"655","25.21","40.60","2062","4094","1770"
"763","25.21","40.60","2062","4094","1770"
"873","25.23","40.59","2062","4094","1770"
"982","25.23","40.59","2062","4094","1770"
"1090","25.22","40.58","2062","4094","1772"
"1200","25.23","40.58","2062","4094","1772"
"1308","25.24","40.58","2062","4094","1772"
"1418","25.24","40.57","2062","4094","1772"
"1526","25.25","40.57","2062","4094","1772"
"1636","25.24","40.57","2062","4094","1772"
"1744","25.24","40.57","2062","4094","1772"
"1854","25.24","40.57","2062","4094","1772"
"1963","25.25","40.56","2062","4094","1772"
"2072","25.28","40.56","2062","4094","1772"
