"Elapsed_time","Temperature","Humidity","TGS2600","TGS2602","TGS2610"
"543","27.79","32.13","4094","4094","1810"
"653","27.80","32.16","4094","4094","1808"
"761","27.81","32.18","4094","4094","1808"
"871","27.81","32.21","4094","4094","1808"
"979","27.82","32.24","4094","4094","1808"
"1088","27.82","32.27","4094","4094","1808"
"1198","27.82","32.30","4094","4094","1808"
"1306","27.82","32.32","4094","4094","1810"
"1416","27.82","32.35","4094","4094","1810"
"1524","27.82","32.37","4094","4094","1810"
"1634","27.82","32.40","4094","4094","1810"
"1742","27.81","32.42","4094","4094","1812"
"1852","27.82","32.44","4094","4094","1812"
"1960","27.82","32.46","4094","4094","1812"
"2070","27.82","32.48","4094","4094","1812"
