"Elapsed_time","Temperature","Humidity","TGS2600","TGS2602","TGS2610"
"548","24.95","41.72","2100","4094","1718"
"657","24.95","41.71","2100","4094","1718"
"765","24.98","41.70","2100","4094","1718"
"875","24.98","41.69","2100","4094","1718"
"984","24.99","41.69","2100","4094","1720"
"1093","24.99","41.68","2098","4094","1720"
"1202","25.00","41.67","2098","4094","1720"
"1311","25.00","41.66","2098","4094","1720"
"1420","24.99","41.65","2098","4094","1720"
"1529","25.01","41.65","2098","4094","1720"
"1638","25.02","41.63","2098","4094","1720"
"1746","25.02","41.62","2096","4094","1720"
"1856","25.02","41.61","2096","4094","1722"
"1965","25.01","41.60","2096","4094","1722"
"2074","25.03","41.59","2096","4094","1722"
