"Elapsed_time","Temperature","Humidity","TGS2600","TGS2602","TGS2610"
"547","25.05","41.25","2084","4094","1732"
"656","25.05","41.25","2084","4094","1734"
"765","25.07","41.25","2082","4094","1734"
"874","25.07","41.24","2082","4094","1734"
"984","25.08","41.22","2082","4094","1734"
"1092","25.07","41.23","2082","4094","1734"
"1201","25.08","41.21","2082","4094","1734"
"1310","25.08","41.21","2082","4094","1734"
"1419","25.07","41.21","2082","4094","1734"
"1528","25.09","41.20","2082","4094","1736"
"1637","25.10","41.19","2082","4094","1736"
"1746","25.12","41.19","2082","4094","1736"
"1855","25.09","41.18","2080","4094","1736"
"1965","25.10","41.17","2080","4094","1736"
"2073","25.10","41.17","2080","4094","1736"
