"Elapsed_time","Temperature","Humidity","TGS2600","TGS2602","TGS2610"
"544","24.76","41.18","1948","1954","1548"
"654","24.77","41.18","1948","1954","1548"
"762","24.77","41.18","1948","1956","1548"
"871","24.79","41.18","1950","1956","1548"
"980","24.78","41.18","1950","1956","1550"
"1089","24.78","41.18","1950","1956","1550"
"1199","24.80","41.17","1950","1956","1550"
"1307","24.82","41.16","1950","1956","1550"
"1417","24.79","41.16","1950","1958","1550"
"1525","24.79","41.15","1950","1958","1550"
"1635","24.80","41.15","1950","1958","1550"
"1743","24.82","41.15","1950","1958","1550"
"1853","24.83","41.14","1950","1958","1550"
"1961","24.83","41.13","1950","1958","1550"
"2071","24.83","41.13","1950","1960","1550"
